manufacturing_plant_name,manufacturing_plant_id,manufacturing_plant_country_region_level_2_name,segment_abbr_name,business_unit_id,plant_shift_calendar_year_id,plant_shift_calendar_month_id,plant_shift_calendar_week_id,plant_shift_fiscal_year_id,plant_shift_fiscal_month_id,plant_shift_fiscal_week_id,machine_event_record_id,production_order_event_record_id,machine_id,machine_group_code,cost_center_id,machine_status_code,machine_status_name,machine_status_class_code,hydra_bmk_number,machine_event_create_date,machine_event_create_time,machine_production_time_seconds_quantity,machine_production_or_setup_or_repair_or_break_time_seconds_quantity,machine_status_seconds_quantity,plant_shift_timestamp,yield_quantity,scrap_quantity,production_order_operation_composite_id,part_number,resource_id,part_description,strokes_yield_quantity,strokes_total_quantity,machine_event_end_date,machine_event_end_time,production_order_logoff_date,production_order_logon_time,production_order_logon_date,production_order_logoff_time,last_load_timestamp,hydra_plant_instance_name,plant_shift_date
Oostkamp,538,EMEA,TS,AUT,2026,2,7,2026,5,21,33202429,,M-471,M-471,VS3U,313,TPM /5S+1,313,AEP,2026-03-01 10:00:00,1970-01-15 10:00:00,1970-01-15 10:00:00,1970-01-15 10:00:00,131,2026-03-01 10:00:00,0,0,,,,,0,0,2026-03-01 10:00:00,1970-01-15 10:00:00,,,,,2026-02-15 04:01:17.000000,OOSTKAMP,2026-03-01 10:00:00
Oostkamp,538,EMEA,TS,AUT,2026,2,7,2026,5,21,33202425,,M-471,M-471,VS3U,200,Productie,200,HNZ,2026-03-01 10:00:00,1970-01-15 10:00:00,1970-01-15 10:00:00,1970-01-15 10:00:00,12180,2026-03-01 10:00:00,5444,0,,,,,1361,1361,2026-03-01 10:00:00,1970-01-15 10:00:00,,,,,2026-02-15 04:01:17.000000,OOSTKAMP,2026-03-01 10:00:00
Oostkamp,538,EMEA,TS,AUT,2026,2,7,2026,5,21,33201687,40575298.0,M-231,M-231,VS3U,200,Productie,200,HNZ,2026-03-01 10:00:00,1970-01-15 10:00:00,1970-01-15 10:00:00,1970-01-15 10:00:00,1357,2026-02-28 10:00:00,1136,48,2002335528150070.0,1452301-1,M1774901,SPACER F.12P,148,148,2026-03-01 10:00:00,1970-01-15 10:00:00,2026-03-01 10:00:00,1970-01-15 10:00:00,2026-02-28 10:00:00,1970-01-15 10:00:00,2026-02-15 04:00:05.000000,OOSTKAMP,2026-02-28 10:00:00
Oostkamp,538,EMEA,TS,AUT,2026,2,7,2026,5,21,33201599,40575298.0,M-231,M-231,VS3U,219,Microstop,200,HNZ,2026-03-01 10:00:00,1970-01-15 10:00:00,1970-01-15 10:00:00,1970-01-15 10:00:00,15,2026-02-28 10:00:00,0,0,2002335528150070.0,1452301-1,M1774901,SPACER F.12P,0,0,2026-03-01 10:00:00,1970-01-15 10:00:00,2026-03-01 10:00:00,1970-01-15 10:00:00,2026-02-28 10:00:00,1970-01-15 10:00:00,2026-02-15 04:00:05.000000,OOSTKAMP,2026-02-28 10:00:00
Oostkamp,538,EMEA,TS,AUT,2026,2,7,2026,5,21,33201782,40575647.0,M-612,M-612,VS3U,211,Wachten op vormherst,212,U8,2026-03-01 10:00:00,1970-01-15 10:00:00,1970-01-15 10:00:00,1970-01-15 10:00:00,16856,2026-02-28 10:00:00,0,0,2002334559570080.0,1-2292506-1,M0067868,"34POS,MQS,REC HSG,AND MPQ",0,0,2026-03-01 10:00:00,1970-01-15 10:00:00,2026-03-01 10:00:00,1970-01-15 10:00:00,2026-02-28 10:00:00,1970-01-15 10:00:00,2026-02-15 04:01:07.000000,OOSTKAMP,2026-02-28 10:00:00
Oostkamp,538,EMEA,TS,AUT,2026,2,7,2026,5,21,33201346,40575647.0,M-612,M-612,VS3U,211,Wachten op vormherst,212,U8,2026-03-01 10:00:00,1970-01-15 10:00:00,1970-01-15 10:00:00,1970-01-15 10:00:00,1,2026-02-28 10:00:00,0,0,2002334559570080.0,1-2292506-1,M0067868,"34POS,MQS,REC HSG,AND MPQ",0,0,2026-03-01 10:00:00,1970-01-15 10:00:00,2026-03-01 10:00:00,1970-01-15 10:00:00,2026-02-28 10:00:00,1970-01-15 10:00:00,2026-02-15 04:01:07.000000,OOSTKAMP,2026-02-28 10:00:00
Oostkamp,538,EMEA,TS,AUT,2026,2,7,2026,5,21,33201627,40575134.0,M-607,M-607,VS3U,200,Productie,200,HNZ,2026-02-28 10:00:00,1970-01-15 10:00:00,1970-01-15 10:00:00,1970-01-15 10:00:00,20976,2026-02-28 10:00:00,31632,256,2002335030910080.0,1-1670988-1,M1835337,4POS MQS REC COD A,1993,1993,2026-03-01 10:00:00,1970-01-15 10:00:00,2026-03-01 10:00:00,1970-01-15 10:00:00,2026-02-28 10:00:00,1970-01-15 10:00:00,2026-02-15 04:00:00.000000,OOSTKAMP,2026-02-28 10:00:00
Oostkamp,538,EMEA,TS,AUT,2026,2,7,2026,5,21,33201278,40575134.0,M-607,M-607,VS3U,219,Microstop,200,HNZ,2026-02-28 10:00:00,1970-01-15 10:00:00,1970-01-15 10:00:00,1970-01-15 10:00:00,74,2026-02-28 10:00:00,0,0,2002335030910080.0,1-1670988-1,M1835337,4POS MQS REC COD A,0,0,2026-02-28 10:00:00,1970-01-15 10:00:00,2026-03-01 10:00:00,1970-01-15 10:00:00,2026-02-28 10:00:00,1970-01-15 10:00:00,2026-02-15 04:00:00.000000,OOSTKAMP,2026-02-28 10:00:00
Oostkamp,538,EMEA,TS,AUT,2026,2,7,2026,5,21,33201791,40575684.0,M-471,M-471,VS3U,200,Productie,200,HNZ,2026-02-28 10:00:00,1970-01-15 10:00:00,1970-01-15 10:00:00,1970-01-15 10:00:00,43200,2026-02-28 10:00:00,19396,0,2002334741650020.0,2328413-1,M1947877,"10POS,NANOMQS,REC HSG",4849,4849,2026-03-01 10:00:00,1970-01-15 10:00:00,2026-03-01 10:00:00,1970-01-15 10:00:00,2026-02-28 10:00:00,1970-01-15 10:00:00,2026-02-15 04:01:17.000000,OOSTKAMP,2026-02-28 10:00:00
Oostkamp,538,EMEA,TS,AUT,2026,2,7,2026,5,21,33201731,40575455.0,M-356,M-356,VS3U,200,Productie,200,HNZ,2026-02-28 10:00:00,1970-01-15 10:00:00,1970-01-15 10:00:00,1970-01-15 10:00:00,43200,2026-02-28 10:00:00,2818,0,2002335031310020.0,2-953615-2,M1835997,MODULAR RELAY HLDR 50-60A,1409,1409,2026-03-01 10:00:00,1970-01-15 10:00:00,2026-03-01 10:00:00,1970-01-15 10:00:00,2026-02-28 10:00:00,1970-01-15 10:00:00,2026-02-15 04:00:38.000000,OOSTKAMP,2026-02-28 10:00:00
